3,4,5,6,7,8,6,8,6,7,8,9,1,2,3,4,5,6
5,6,7,8,9,5,6,7,7,8,6,8,1,3,4,5,6,7
1,7,8,9,5,6,7,3,9,5,6,7,3,5,6,7,8,9
2,3,4,5,6,7,8,9,5,6,7,8,9,1,2,3,4,5
3,4,5,6,7,8,9,1,6,7,8,9,1,2,3,4,5,6
5,5,6,7,8,6,8,1,7,8,6,8,1,3,4,5,6,7
1,7,8,9,5,6,7,3,9,5,6,7,3,5,6,7,8,9
2,3,4,5,6,7,8,9,9,5,6,7,3,5,6,7,8,9
3,4,5,6,7,8,9,1,5,6,7,8,9,1,2,3,4,5
2,5,6,7,8,6,8,1,6,7,8,9,1,2,3,4,5,6
3,7,8,9,5,6,7,3,7,8,6,8,1,3,4,5,6,7
5,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,7,3
1,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,8,9
2,5,6,7,8,6,8,1,3,4,5,6,7,8,6,8,9,1
3,7,8,9,5,6,7,3,5,6,7,8,9,5,6,7,8,1
5,7,8,9,5,6,7,3,5,6,7,8,9,5,6,7,7,3
1,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,8,9
2,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,9,1
3,5,6,7,8,6,8,1,3,4,5,6,7,8,6,8,8,1
5,6,7,8,9,5,6,7,3,5,6,7,8,9,5,6,7,3
1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9
2,3,4,5,6,7,8,9,3,4,5,6,7,8,9,1,2,3
3,4,5,6,7,8,6,8,4,5,6,7,8,9,1,2,3,4
5,6,7,8,9,5,6,7,5,6,7,8,6,8,1,3,4,5
5,6,7,8,9,5,6,7,7,8,9,5,6,7,3,5,6,7
1,2,3,4,5,6,7,8,3,4,5,6,7,8,9,1,2,3
2,3,4,5,6,7,8,9,4,5,6,7,8,9,1,2,3,4
3,4,5,6,7,8,6,8,4,5,6,7,8,9,1,2,3,4
5,6,7,8,9,5,6,7,5,6,7,8,6,8,1,3,4,5
1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9
2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1
3,4,5,6,7,8,6,8,1,3,4,5,6,7,8,6,8,1
5,6,7,8,9,5,6,7,3,5,6,7,8,9,5,6,7,3
1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9
2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1
3,4,5,6,7,8,6,8,1,3,4,5,6,7,8,6,8,1
1,2,1,2,3,4,4,5,6,7,8,9,1,2,3,4,5,6
2,3,1,3,4,5,5,6,7,8,9,1,2,3,4,5,6,7
3,4,3,5,6,7,6,7,8,6,8,1,3,4,5,6,7,8
5,6,9,1,2,3,8,9,5,6,7,3,5,6,7,8,9,5
1,2,1,2,3,4,4,5,6,7,8,9,1,2,3,4,5,6
2,3,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7
2,3,1,3,4,5,5,6,7,8,9,1,2,3,4,5,6,7
3,4,9,1,2,3,4,5,6,7,8,9,6,7,8,6,8,1
1,2,1,2,3,4,5,6,7,8,9,1,4,5,6,7,8,9
2,3,1,3,4,5,6,7,8,6,8,1,5,6,7,8,9,1
3,4,3,5,6,7,8,9,5,6,7,3,6,7,8,6,8,1
5,6,9,1,2,3,4,5,6,7,8,9,8,9,5,6,7,3
1,2,1,2,3,4,5,6,7,8,9,1,4,5,6,7,8,9
2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1
2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1
3,4,5,6,7,8,6,8,1,3,4,5,6,7,8,6,8,1
1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9
2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1
3,4,5,6,7,8,6,8,1,3,4,5,6,7,8,6,8,1
5,6,7,8,9,5,6,7,3,5,6,7,8,9,5,6,7,3
1,2,3,4,7,8,9,5,6,7,3,5,6,7,8,9,5,9
2,3,4,5,3,4,5,6,7,8,9,1,2,3,4,5,6,1
2,3,4,5,4,5,6,7,8,9,1,2,3,4,5,6,7,1
3,4,5,6,5,6,7,8,6,8,1,3,4,5,6,7,8,1
1,2,3,4,6,7,8,9,5,6,7,3,5,6,7,8,9,9
2,3,4,5,2,3,4,5,6,7,8,9,1,2,3,4,5,1
3,4,5,6,3,4,5,6,7,8,9,3,4,5,6,7,8,1
5,6,7,8,4,5,6,7,8,6,8,4,5,6,7,8,9,3
1,2,3,4,6,7,8,9,5,6,7,5,6,7,8,6,8,9
2,3,4,5,6,7,8,9,5,6,7,7,8,9,5,6,7,1
1,6,7,8,9,3,4,5,6,7,8,3,4,5,6,7,8,4
2,7,8,9,1,4,5,6,7,8,9,4,5,6,7,8,9,5
3,8,6,8,1,5,6,7,8,6,8,4,5,6,7,8,9,5
1,5,6,7,3,7,8,9,5,6,7,5,6,7,8,6,8,6
2,8,9,5,6,3,4,5,6,7,8,9,1,2,3,4,5,1
3,4,5,6,7,4,5,6,7,8,9,1,2,3,4,5,6,2
1,5,6,7,8,5,6,7,8,6,8,1,3,4,5,6,7,3
3,6,7,8,6,7,8,9,5,6,7,3,5,6,7,8,9,5
4,7,8,9,5,5,6,7,8,6,8,4,5,6,7,8,9,5
